"file","reads"
"Klin-2002-EC04",66690370
"Kild-2000-EC04",73226929
"SerB-2020-102403",43908315
"BigB-2021-219244",63402881
"Raf-2011-EC03",57824333
"Tri-1998-93",28593899
"Kwi-1996-CH-KW-96-18",31935432
"Moy-2010-6515",47435726
"Kits-1995-24",57814204
"Klin-2002-EC05",29805621
"Kild-2000-EC05",41660078
"SerB-2020-102404",45866300
"BigB-2021-219245",57257558
"Raf-2011-EC04",37469918
"Tri-1998-94",22072556
"Kwi-1996-CH-KW-96-72",48479790
"Moy-2010-6599",29613267
"Kits-1995-2",44663349
"Klin-2002-EC06",67288018
"Kild-2000-EC06",33135856
"SerB-2020-102405",44163241
"BigB-2021-219247",45949517
"Raf-2011-EC05",38388590
"Tri-1998-95",37490161
"Nim-2010-1411",43028359
"Moy-2010-4520",54441461
"Kits-1995-18",44321383
"Klin-2002-EC07",54110776
"Kild-2000-EC07",47584451
"SerB-2020-102407",60381785
"BigB-2021-219248",51627762
"Harr-2006-K054",47854900
"Raf-2011-EC06",57539495
"Tri-1998-96",46835923
"Nim-2010-1412",51410094
"Moy-2010-4524",68797596
"Kits-1995-EC02",52234147
"Klin-2002-EC08",70082941
"Kild-2000-EC08",54057837
"SerB-2020-102408",55602784
"BigB-2021-219249",61043828
"Harr-2006-K045",39101612
"Raf-2011-EC07",42204577
"Tri-1998-99",45402107
"Moy-2010-6598",50990988
"Kits-1995-13",40343328
"Klin-2002-EC01",54355100
"Kwi-1996-CH-KW-96-38",66507902
"Kild-2000-EC01",62322828
"HarB-2020-75401",43079946
"SerB-2020-102410",46997955
"BigB-2021-219250",79581638
"Nim-2010-1408",40159582
"Raf-2011-EC10",34020298
"Raf-2002-EC04",25508550
"Moy-2010-4501",38373237
"Nus-2018-54306",57970948
"Kits-1995-17",46682613
"Klin-2002-EC02",69061924
"Kild-2000-EC02",47301690
"SerB-2020-102401",51642381
"BigB-2021-219242",68209896
"SpiB-2021-253202",51219929
"Nim-2010-1409",35030672
"Tri-1998-91",29527963
"Raf-2009-EC02",44093241
"Moy-2010-6595",39296873
"Kits-1995-4",33076617
"Klin-2002-EC03",87286477
"Kild-2000-EC03",41610001
"SerB-2020-102402",39636250
"BigB-2021-219243",66128928
"Ada-2001-EC04",67529132
"Kwi-1996-CH-KW-96-12",65832091
"Oka-2007-13620",38646509
"SpiB-2021-253302",80627772
"Nim-2010-1441",116217636
"SpiB-2021-253304",65883815
"Ada-2001-EC01",71512936
"SpiB-2021-253305",45865726
"Ada-2001-EC02",100445316
"Oka-2007-13623",56477210
"Kwi-1996-CH-KW-96-31",65909754
"Ada-2001-EC03",69701282
"Ada-2001-EC05",69549838
"San-2015-3867",33827156
"San-2015-3868",44417782
"San-2015-3869",46267577
"Siu-2011-149",49447348
"Siu-2011-201",45788263
"Siu-2011-202",46195290
"Siu-2011-206",55459461
"Sli-2020-33441",64604272
"Sli-2020-33442",59464929
"Sli-2020-33443",70719315
"Sli-2020-33445",67850820
"Sli-2020-33446",68110770
"San-2015-3863",59034907
"San-2015-3865",45516452
"Nus-2018-54312",47460664
"Swi-2003-EC08",45121578
"Takhi-2003-2",31786251
"Car-2001-UC-3",60830936
"Sus-2006-EC02",49036816
"Che-2007-EC04",63825831
"Klo-2007-EC02",59748677
"Mor-2009-EC01",63669064
"Sli-2001-EC11",42010480
"Oka-2007-13630",55445287
"Pit-2003-H1",42915342
"Nus-2018-54401",56581509
"Hoo-2005-EC06",29337500
"Takhi-2003-3",47835497
"Sus-2006-EC03",48440819
"Che-2007-EC05",58883915
"Klo-2007-EC03",51577015
"Mor-2009-EC04",71446619
"Sli-2001-EC15",59648285
"Oka-2007-13631",64197965
"Pit-2003-H3",63458863
"Nus-2018-54402",41130612
"Hoo-2005-EC07",50851294
"Takhi-2003-5",45854982
"Car-2001-UC-15C",52741691
"Sus-2006-EC04",41287487
"Che-2007-EC06",52608914
"Klo-2007-EC04",56654248
"Mor-2009-EC06",65814141
"Harr-2006-K047",36347936
"Oka-2007-13634",27264894
"Pit-2003-H5",64247480
"Nus-2018-54404",45704894
"Hoo-2005-EC08",52737211
"Takhi-2003-6",55077404
"Car-2001-UC-16A",46417205
"Sus-2006-EC05",57395334
"Che-2007-EC07",55263549
"Klo-2007-EC05",64054934
"Mor-2009-EC08",66235899
"Harr-2006-K066",56721784
"Siu-2011-010",66232740
"Pit-2003-H6",65387772
"Nus-2018-54407",55158492
"Hoo-2005-EC09",47455397
"Takhi-2003-8",57309638
"Car-2001-UC-16B",64413147
"Sus-2006-EC06",77092376
"Che-2007-EC08",59004186
"Klo-2007-EC06",49068594
"Mor-2009-EC10",70479838
"Harr-2006-K057",42963839
"Siu-2011-012",51535118
"Blu-2004-EC01",49315209
"Swi-2003-EC01",52621182
"Hoo-2005-EC10",54447633
"Takhi-2003-9",49637810
"Car-2001-UC-16C",67406041
"Sus-2006-EC07",67312722
"Che-2007-EC09",54614176
"Klo-2007-EC08",73019614
"Mor-2009-EC11",78250251
"Harr-2006-K059",44614751
"Siu-2011-013",48066465
"Blu-2004-EC03",52785424
"Swi-2003-EC03",36878074
"Hoo-2005-EC11",56046033
"Takhi-2003-10",50192955
"Car-2001-UC-16D",56210264
"Sus-2006-EC10",82595734
"Che-2007-EC10",60099548
"Klo-2007-EC09",58986951
"Mor-2009-EC12",63626873
"Blu-2009-EC02",57781441
"Nus-2018-54311",82635862
"Swi-2003-EC07",35628252
"Takhi-2003-1",62673884
"Car-2001-UC-2",35282173
"Sus-2006-EC01",59377831
"Che-2007-EC02",68040026
"Sli-2001-EC08",62638205
"Klo-2007-EC10",40574162
"Mor-2009-EC13",58131250
"Abe-1995-95EK1",43907570
