Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Harrison,15.19999981,8.699999809,29.20000076,716.5,33.40000153,3.700000048,29.70000076,7.400000095,26.39999962,24.20000076,6.900000095,1792,308,39,55.5,767,160,160,604,2041-2060,85
Harrison,9.891666412,8.25,33.13253021,588.8657837,24.10000038,-0.800000012,24.89999962,3.283333302,17.10000038,17.10000038,2.816666603,1716,267,59,48.53168106,717,202,202,607,1970-2000,NA
Big Qualicum,13.5,8.699999809,34.09999847,602.9000244,28.5,3,25.5,6.5,21.5,20.89999962,6.199999809,1344,255,20,69.59999847,649,89,89,527,2041-2060,26
Big Qualicum,14.80000019,8.800000191,32.29999924,638.2999878,31.39999962,4.199999809,27.20000076,8,23.60000038,22.79999924,7.400000095,1323,240,17,68.90000153,631,78,78,515,2041-2060,85
Big Qualicum,9.637499809,8.208333015,36.48148346,531.567688,22.79999924,0.300000012,22.5,4,16.35000038,16.35000038,3.450000048,1296,216,26,64.33683777,612,106,106,535,1970-2000,NA
Moyeha,12.19999981,8.300000191,36.90000153,524.4000244,25.5,2.900000095,22.60000038,9,19.10000038,18.89999962,6.099999905,3220,576,51,64.90000153,1448,219,240,1175,2041-2060,26
Moyeha,13.39999962,8.399999619,35.70000076,545.4000244,27.39999962,3.900000095,23.5,9.800000191,20.70000076,20.39999962,7.099999905,3209,538,43,64.30000305,1420,195,237,1167,2041-2060,85
Moyeha,8.887499809,8.108333588,38.61111069,486.0421143,21.20000076,0.200000003,21,3.849999905,14.83333397,15.13333321,3.283333302,3028,475,65,57.88598251,1316,258,264,1152,1970-2000,NA
Pitt,11.89999962,7.800000191,28.79999924,681.2000122,28.10000038,0.899999976,27.20000076,3.799999952,21.89999962,20.20000076,3.799999952,2861,527,56,59.79999924,1259,234,234,970,2041-2060,26
Pitt,13.30000019,7.900000095,27.60000038,729.2000122,30.89999962,2.299999952,28.60000038,5.300000191,23,22.39999962,4.800000191,2842,510,50,60.29999924,1245,212,220,959,2041-2060,85
Pitt,8.158332825,7.566666603,31.13854599,604.5314941,22.29999924,-2,24.29999924,1.549999952,15.48333359,15.64999962,0.916666627,2713,449,77,54.7095108,1178,266,273,975,1970-2000,NA
Cheakamus,12.89999962,6.800000191,26.5,670.4000244,28.20000076,2.5,25.70000076,5,22.60000038,21.10000038,4.900000095,2722,526,50,65.90000153,1254,193,204,956,2041-2060,26
Cheakamus,14.30000019,6.900000095,25.29999924,718.2000122,31.10000038,3.900000095,27.20000076,6.5,23.89999962,23.29999924,6,2710,507,44,65.90000153,1240,183,183,948,2041-2060,85
Cheakamus,9.154166222,6.541666508,28.69152069,594.1397705,22.39999962,-0.400000006,22.79999924,2.633333445,16.41666603,16.48333359,2.083333254,2580,448,65,61.05752182,1175,224,227,963,1970-2000,NA
Nahatlatch,12.69999981,9.399999619,26.70000076,853,33.09999847,-2.200000048,35.29999924,2.599999905,23.79999924,23.10000038,2,918,154,21,60,419,78,78,355,2041-2060,26
Nahatlatch,14.19999981,9.5,25.79999924,906.4000244,36.40000153,-0.600000024,37,4.300000191,26.39999962,25.5,3.200000048,917,152,18,61.09999847,420,70,70,354,2041-2060,85
Nahatlatch,8.945833206,9.175000191,28.85220146,780.9884644,26.5,-5.300000191,31.79999924,0.033333313,18.36666679,18.36666679,-0.966666698,858,131,26,56.3617897,385,86,86,345,1970-2000,NA
Kaouk,12.5,6.699999809,34.59999847,472.7000122,24.10000038,4.699999809,19.39999962,9.600000381,18.79999924,18.5,7.099999905,3495,635,59,64.69999695,1605,263,308,1263,2041-2060,26
