Site,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,period,ssp
Dudidontu,1.100000024,10.41666698,27.85205078,1002.91394,20.29999924,-17.10000038,37.40000153,7.950000286,1.700000167,12.96666622,-11.64999962,578,71,20,32.77077103,196,84,149,153,1970-2000,NA
Yeth,6.400000095,8.399999619,24.29999924,935.5999756,24.20000076,-10.5,34.70000076,7.900000095,5.800000191,17.79999924,-5.5,1070,174,44,40.20000076,413,166,236,255,2041-2060,26
Yeth,7.900000095,8.300000191,24.60000038,922.2999878,26.39999962,-7.400000095,33.79999924,8.800000191,6.800000191,19.60000038,-3.400000095,1105,182,49,40.59999847,431,175,238,261,2041-2060,85
Yeth,2.529166698,8.908332825,26.0477581,929.6491699,20.10000038,-14.10000038,34.20000076,2.833333492,8.083333015,13.61666679,-9.233333588,955,145,43,37.32040405,354,147,208,242,1970-2000,NA
Morley,3,10.69999981,25.10000038,1122.400024,23.89999962,-18.79999924,42.70000076,16.20000076,-2.5,16.10000038,-11.80000019,422,56,12,36.79999924,154,57,142,88,2041-2060,26
Morley,4.599999905,10.5,25.39999962,1092.5,26,-15.39999962,41.40000153,17.89999962,-1.299999952,17.79999924,-9.5,434,55,13,36.09999847,156,58,142,91,2041-2060,85
Morley,-1.179166555,11.42500019,26.50812149,1155.737549,19.79999924,-23.29999924,43.09999847,10.8166666,-6.900000095,12.14999962,-16.31666565,368,48,11,35.25065994,135,52,123,81,1970-2000,NA
Takhanne,3.5,10.30000019,26.79999924,975.7000122,22.5,-15.80000019,38.29999924,-3.599999905,2.599999905,15.5,-8.5,687,90,24,39,243,79,165,205,2041-2060,26
Takhanne,5.099999905,10.10000038,27.20000076,953.0999756,24.5,-12.60000038,37.09999847,-1.700000048,3.5,17.20000076,-6.300000191,701,90,25,38.70000076,250,82,166,207,2041-2060,85
Takhanne,-0.500000119,10.85000038,28.25520897,989.4626465,18.39999962,-20,38.40000153,-6.450000286,-0.483333409,11.3166666,-12.76666641,601,80,21,38.30123138,211,72,140,185,1970-2000,NA
Takhini,3.5,10.5,24.20000076,1133.599976,25.29999924,-18.10000038,43.40000153,16.89999962,-2.599999905,17,-11.19999981,293,49,4,55.5,130,25,126,49,2041-2060,26
Takhini,5.199999809,10.30000019,24.60000038,1095.300049,27.29999924,-14.39999962,41.70000076,18.70000076,-1.200000048,18.79999924,-8.699999809,301,48,5,53,130,26,126,51,2041-2060,85
Takhini,-0.800000072,11.36666679,25.65838814,1184.653809,21.20000076,-23.10000038,44.30000305,11.53333378,-6.983333588,13.10000038,-16.11666679,250,40,4,51.99608994,109,23,105,45,1970-2000,NA
Hoole,0.699999988,12.89999962,26.20000076,1286.699951,25,-24,49,17.29999924,-6.199999809,16,-15.69999981,358,66,11,54.20000076,160,40,160,56,2041-2060,26
Hoole,2.400000095,12.60000038,26.5,1255.900024,27,-20.60000038,47.59999847,19.20000076,-4.900000095,17.70000076,-13.39999962,365,66,12,52.90000153,160,42,160,57,2041-2060,85
Hoole,-3.604166508,13.74166679,27.64922905,1334.110962,20.79999924,-28.89999962,49.69999695,12.03333282,-10.0666666,12.03333282,-20.5,309,56,11,51.55688477,136,38,136,51,1970-2000,NA
Big Salmon,2.599999905,12.10000038,24.79999924,1274.400024,26.60000038,-22.39999962,49,17,-4.099999905,17.5,-14.10000038,333,63,7,58.70000076,152,31,147,51,2041-2060,26
Big Salmon,4.300000191,11.89999962,25.20000076,1230.300049,28.60000038,-18.70000076,47.29999924,18.89999962,-2.5,19.20000076,-11.60000038,341,62,8,56.5,152,33,147,53,2041-2060,85
Big Salmon,-1.991666675,13.1833334,26.26162148,1338.234619,22.39999962,-27.79999924,50.19999695,11.66666603,-8.766666412,13.44999981,-19.48333359,285,52,7,55.26847839,128,29,124,47,1970-2000,NA
Tincup,0,12.10000038,24.70000076,1352.099976,23.79999924,-25.20000076,49,17,-6.900000095,15.69999981,-17.29999924,450,99,13,72.19999695,235,43,235,49,2041-2060,26
Tincup,1.600000024,11.89999962,24.89999962,1313.900024,25.70000076,-21.89999962,47.59999847,18.79999924,-5.199999809,17.29999924,-15,462,101,13,71.40000153,239,44,239,51,2041-2060,85
Tincup,-4.229166985,12.875,26.01010132,1385.310059,19.79999924,-29.70000076,49.5,11.8166666,-10.9333334,11.8166666,-21.93333435,387,79,12,66.90846252,196,40,196,45,1970-2000,NA
Andreafsky,4.300000191,6.800000191,23.20000076,873.2000122,21.10000038,-8.399999619,29.5,16.39999962,-4.400000095,15.89999962,-5.199999809,547,115,19,64.69999695,269,61,225,66,2041-2060,26
Andreafsky,6.300000191,6.5,24.10000038,814.4000244,22.60000038,-4.300000191,26.89999962,18,-1.600000024,17.5,-1.899999976,570,126,19,65.40000153,280,66,237,73,2041-2060,85
Andreafsky,-1.279166698,7.825000286,22.55043221,1039.611938,17,-17.70000076,34.70000076,10.76666641,-9.050000191,11.8166666,-13.26666641,486,103,16,65.10079193,239,53,203,69,1970-2000,NA
Nordenskiold,1.600000024,12.10000038,23.10000038,1400.900024,26.29999924,-25.79999924,52.09999847,19.10000038,-5.199999809,17.70000076,-17,310,71,6,72.69999695,158,23,158,40,2041-2060,26
Nordenskiold,3.400000095,11.80000019,23.39999962,1355,28.29999924,-22.20000076,50.5,20.89999962,-3.599999905,19.39999962,-14.5,315,70,6,69.80000305,156,24,156,42,2041-2060,85
Nordenskiold,-2.970833302,13.09166622,24.56222534,1460.20459,22.20000076,-31.10000038,53.30000305,13.63333321,-9.850000381,13.63333321,-22.29999924,264,57,6,67.40724182,131,22,131,37,1970-2000,NA
Mayo,1.200000048,11,21.39999962,1376,26.29999924,-24.89999962,51.20000076,19.20000076,-5.199999809,17.5,-16.39999962,370,67,9,57.20000076,165,34,165,55,2041-2060,26
Mayo,2.900000095,10.69999981,21.70000076,1330.699951,28.20000076,-21.20000076,49.40000153,21,-3.400000095,19.20000076,-13.80000019,378,67,10,55,164,36,164,58,2041-2060,85
Mayo,-3.600000143,11.85000038,22.70114899,1445.750854,21.89999962,-30.29999924,52.19999695,13.44999981,-10.1833334,13.44999981,-21.89999962,315,55,9,53.15921783,138,32,138,51,1970-2000,NA
Klondike,-0.300000012,11.39999962,21.20000076,1549.199951,27.10000038,-26.89999962,54,19.70000076,-8.100000381,18,-20.20000076,376,64,10,53.79999924,164,35,164,54,2041-2060,26
Klondike,1.5,11.10000038,21.39999962,1498.800049,28.89999962,-23.29999924,52.20000076,21.29999924,-6,19.70000076,-17.5,387,63,11,51.70000076,164,37,164,57,2041-2060,85
Klondike,-4.958333492,12.14999962,22.17153358,1607.602417,22.70000076,-32.09999847,54.79999924,13.83333302,-13.28333378,13.83333302,-25.51666641,324,52,10,49.674263,138,33,138,50,1970-2000,NA
Tozitna,1.600000024,10.5,21.29999924,1412.099976,27.39999962,-21.70000076,49.09999847,17.60000038,-7.900000095,19.10000038,-15.19999981,378,80,9,70.80000305,195,38,190,51,2041-2060,26
Tozitna,3.599999905,10.10000038,21.70000076,1344.400024,29.20000076,-17.60000038,46.79999924,19.29999924,-5.400000095,20.79999924,-12,398,85,9,70.59999847,205,41,199,56,2041-2060,85
Tozitna,-3.625,11.19999981,21.875,1510.238525,23,-28.20000076,51.20000076,12.0666666,-12.14999962,14.76666641,-21.75,325,67,8,68.7536087,165,35,163,46,1970-2000,NA
Salmon Fork,-1.5,11.5,22.39999962,1460.300049,25.70000076,-25.60000038,51.29999924,18.79999924,-12.80000019,16.79999924,-18.5,290,54,7,64.69999695,145,26,145,41,2041-2060,26
Salmon Fork,0.600000024,11.19999981,22.79999924,1397.099976,27.39999962,-21.89999962,49.29999924,20.39999962,-9.899999619,18.5,-15.5,302,58,7,65.90000153,152,27,152,43,2041-2060,85
Salmon Fork,-6.962500095,11.70833302,22.47280884,1540.805786,20.70000076,-31.39999962,52.09999847,12.38333321,-17.23333359,12.38333321,-24.76666641,244,44,6,62.89999771,122,23,122,37,1970-2000,NA
