"","Abernathy","Adams","Andreafsky","Big Qualicum","Big Salmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Pitt","Portage","Raft","Salmon Fork","San Juan","Sarita","Serpentine","Seymour","Siuslaw","Slim","Spius","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun"
"Slim",1308830,651262,4194480,914721,2158055,806746,593872,330482,883350,856897,1151614,1665160,764779,919789,269209,700220,2674486,1993330,1242635,1187014,1045830,1050779,1018666,820756,738705,1191051,2567756,1251323,2677781,2334332,1121631,593612,1143231,2237010,1219662,2101062,1028846,787773,514853,509882,3159482,957538,1028635,775851,704834,1481065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spius",787157,201300,4345819,393022,2292241,285073,323883,440618,361677,335223,964772,1821971,320681,1122622,611995,178547,2809707,1471710,720939,759705,1077348,1220607,979409,1134007,1081491,669344,2702622,1421209,2812975,2469927,599957,71911,621558,2371517,914732,1579442,507172,266100,128170,235246,3294264,435865,506962,254157,264239,959392,599364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sustut",1403951,1242973,3620795,992170,1584358,1338092,1185571,922184,1114443,1129296,577798,1091415,1356478,345953,627042,1194764,2100789,2088513,836176,613224,471989,476963,444853,246945,164915,891273,1994058,677507,2104083,1760634,958399,1180719,756291,1663312,645847,2196982,888292,1175522,1101970,1101520,2585798,1112458,1054010,1119163,1296516,1579601,843635,1186250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swift",1480590,823022,4366145,1086480,2329720,978505,765619,502280,1055109,1028656,1323373,1836825,936539,1091548,441006,871980,2846151,2164995,1414394,1358773,1217589,1222538,1190426,992516,910464,1362811,2739421,1423032,2849446,2505997,1293390,765359,1314990,2408675,1391406,2272727,1200605,959533,686600,681629,3331147,1129298,1200395,947611,876593,1652809,171785,770876,1015476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tahltan",1666273,1785832,3343272,1253236,1109984,1599158,1908234,1556276,1376081,1391103,950656,586374,1905017,558389,1261134,1456167,1626336,2353083,1098571,874182,844824,524300,817698,657044,738743,1152332,1519492,727082,1629618,1286803,1221377,1562491,1017561,1188843,957724,2459291,1149337,1437278,1685095,1819807,2111338,1377964,1317922,1380970,1848682,1841923,1477727,1634406,903975,1650011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Takhanne",2006928,2114569,2540734,1583198,477990,1927987,2238120,1907686,1704864,1719881,1294911,530658,2234865,909785,1612536,1784992,994252,2692155,1429635,1203003,1189102,875696,1161977,1008439,1090138,1481143,887585,1078478,997597,654809,1551844,1891433,1346386,556849,1286539,2799538,1478162,1766119,2013920,2148514,1479344,1705890,1647455,1709753,2177735,2192629,1829123,1963235,1255370,2001406,781483,NA,NA,NA,NA,NA,NA,NA,NA
"Takhini",2216313,2323954,2185961,1792583,123211,2137372,2447505,2117071,1914249,1929266,1504302,740043,2444250,1119170,1821921,1994376,639473,2901540,1639004,1412388,1398487,1085080,1371361,1217824,1299519,1690528,532806,1287863,642818,300030,1761229,2100818,1555781,202070,1495924,3008923,1687547,1975504,2223305,2357899,1124565,1915275,1856840,1919138,2387119,2402014,2038507,2172620,1464745,2210791,990868,358852,NA,NA,NA,NA,NA,NA,NA
"Taseko",1037595,472179,4398754,643486,2362330,535511,565417,302040,612115,585662,1215211,1869434,591560,1123998,473418,428985,2878761,1722176,971400,1010143,1250038,1254987,1229847,1024965,942913,919816,2772030,1455556,2882055,2538606,850404,322364,871996,2441284,1165170,1829908,757645,516538,243618,481410,3363757,686303,757434,504604,535117,1209830,460786,327894,1047925,632726,1682392,2033891,2243287,NA,NA,NA,NA,NA,NA
"Tincup",2844102,2951743,1951932,2420372,514525,2765161,3075293,2744860,2542038,2557055,2132091,1367829,3072039,1746952,2449709,2622165,689547,3529329,2266793,2040177,2026276,1712862,1999150,1845613,1927308,2318316,298777,1915651,419859,763118,2389018,2728607,2183569,435645,2123713,3636712,2315336,2603293,2851097,2985688,890540,2543064,2484629,2546926,3014908,3029803,2666296,2800409,2092534,2838580,1618629,986641,631826,2870858,NA,NA,NA,NA,NA
"Tozitna",3555868,3663509,846761,3132162,1226430,3476927,3787060,3456626,3253800,3268817,2843850,2079637,3783805,2458710,3161472,3333931,1401330,4241095,2978551,2751935,2738034,2424621,2710909,2557372,2639067,3030107,813731,2627410,1107745,1474898,3100809,3440373,2895328,1147450,2835471,4348478,3027127,3315055,3562863,3697454,632156,3254855,3196420,3258689,3726674,3741569,3378062,3512182,2804228,3550346,2330431,1698421,1343692,3582624,1109211,NA,NA,NA,NA
"Trinity",698387,1460666,4596406,1131983,2891751,1274080,1583249,1672566,1127402,1020582,1550507,2389411,1580047,1681653,1843943,1130752,3414443,1382936,1116496,1349304,1635526,1777801,1538879,1692513,1766489,1408439,3302409,1980501,3417904,3065091,1002475,1237413,1361867,2970046,1500872,1490668,1255951,1116224,1360087,1494612,3877438,886719,924080,1062113,1523604,379059,1831312,1309328,1937380,2003203,2206875,2543962,2769828,1559943,3404876,4090072,NA,NA,NA
"Verrett",1559092,1678651,3236091,1146055,1002803,1491977,1801053,1449095,1268900,1283922,843475,479193,1797836,451208,1153953,1348986,1519155,2245902,991390,767001,737647,417119,710509,549863,631562,1045151,1412311,619901,1522437,1179622,1114196,1455310,910380,1081662,850543,2352110,1042156,1330097,1577914,1712626,2004157,1270783,1210741,1273789,1741501,1734742,1370546,1527225,796794,1542830,201578,674292,883665,1575108,1510907,2223143,2102988,NA,NA
"Yakoun",1134580,1280717,3309117,747949,1241656,1094130,1403207,1181073,870170,885023,492569,771766,1399990,182957,885931,950337,1757992,1819130,564371,393512,386760,222291,359622,281841,363814,647290,1651176,422913,1761286,1418475,686596,1057464,508093,1320515,481316,1926861,644310,931330,1180067,1314662,2243010,841093,782376,874891,1343655,1309601,1102524,1129379,528772,1274858,584945,913145,1122518,1306708,1749761,2461977,1679509,477703,NA
"Yeth",1798490,1918036,2867305,1385440,804555,1731362,2040438,1688480,1508285,1523317,1082860,66424,2037221,690593,1393338,1588387,1320907,2485287,1230775,1006386,977032,656504,949893,789248,870946,1284536,1214150,859286,1324188,981374,1353581,1694695,1149764,883414,1089928,2591494,1281541,1569523,1817298,1952011,1805909,1510168,1450096,1513188,1980886,1974127,1609935,1766610,1036179,1782214,531796,476044,685417,1814493,1312659,2024895,2342373,424554,716951
