"","Abernathy","Adams","Andreafsky","BigQualicum","BigSalmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Pitt","Portage","Raft","SalmonFork","SanJuan","Sarita","Serpentine","Seymour","Siuslaw","Slim","Spius","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun","Yeth"
"Serpentine",544663,395128,4129631,131238,6177075,221609,524000,615968,97821,74631,696535,1575210,508124,852631,802395,76862,6347297,1228304,466805,488349,797341,961410,702064,949090,1030067,404349,5773544,1154220,6061440,6426693,345749,179000,353477,6103232,641189,1331386,243918,61852,301483,438338,5567174,190808,274978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seymour",1003979,64671,4588897,590551,6636410,499252,317702,447937,557132,533946,1155853,2034542,120019,1311949,754308,382434,6806633,1687628,926121,947664,1256659,1420728,1161382,1408408,1489404,863664,6232879,1613540,6520775,6886029,805063,281269,812798,6562568,1100507,1790706,703217,468527,331477,232032,6026509,650124,734291,459311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siuslaw",325227,1113336,4480366,791323,6539079,939817,1242207,1334175,781037,675936,1237681,2085638,1226304,1360370,1520602,794607,6713676,1008869,783606,1031413,1304213,1469857,1214147,1457820,1539164,1076031,6099865,1663648,6415914,6791231,662631,897207,1033989,6455988,1181793,1111951,926324,775750,1019679,1156546,5876411,544160,592973,716410,1177498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slim",1318935,662170,4903813,905558,6951728,814257,584377,325988,872167,848977,1470798,2349480,775168,1626931,259744,697442,7121950,2002566,1241077,1262621,1571607,1735669,1476323,1723349,1804343,1178621,6548197,1928522,6836093,7201346,1120018,595384,1127749,6877885,1415463,2105645,1018175,783535,511254,501848,6341827,965098,1049250,774349,726316,1490457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spius",795828,196028,4380785,382402,6428252,291103,324900,444439,348984,325797,947702,1826389,309029,1103799,630822,174293,6598474,1479475,717970,739514,1048508,1212577,953231,1200257,1281234,655514,6024721,1405387,6312617,6677870,596911,73114,604641,6354409,892356,1582553,495068,260378,129950,239238,5818351,441975,526143,251163,260191,967350,603170,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sustut",1518275,1587604,3709692,1083054,5757451,1414085,1716485,1808466,1195887,1192402,801439,1083871,1700600,339827,1994898,1269336,5928202,2201943,923878,703910,547134,471847,587906,243948,164848,976799,5354209,664692,5642025,6006822,1046516,1371506,850718,5681753,768681,2305025,960000,1249668,1493928,1630819,5147267,1189189,1130110,1192462,1651784,1695982,1967249,1443583,0,0,0,0,0,0,0,0,0,0,0,0
"Swift",1483252,826486,5068163,1069875,7116074,978573,748718,490352,1036484,1013293,1635115,2513797,939485,1791248,424081,861767,7286296,2166883,1405393,1426937,1735924,1899986,1640639,1887666,1968660,1342937,6712542,2092839,7000438,7365692,1284335,759722,1292065,7042231,1579779,2269961,1182491,947851,675591,666185,6506173,1129414,1213567,938666,890632,1654773,164805,767153,2131059,0,0,0,0,0,0,0,0,0,0,0
"Tahltan",1720947,1787869,3413683,1284471,5494106,1615169,1916714,2008696,1398105,1394481,1001519,588753,1900818,563141,2195558,1471463,5664804,2404324,1126833,904570,747211,523851,787971,659544,740507,1177917,5092606,717819,5379207,5743450,1248900,1573030,1051699,5418935,968751,2507406,1161086,1452158,1695011,1831057,4887180,1391866,1332788,1394680,1852009,1900647,2167925,1644666,902933,2332274,0,0,0,0,0,0,0,0,0,0
"Takhanne",2073074,2124312,3042168,1621602,5070092,1950815,2252601,2344584,1734947,1731640,1344389,522271,2236715,912145,2532562,1807672,5237362,2748623,1470492,1240741,1096256,872885,1137038,1008601,1089565,1514228,4679983,1066862,4955455,5315980,1592882,1908693,1388777,4995050,1311693,2851684,1497093,1788129,2030657,2167522,4479861,1736167,1677299,1731488,2188386,2250799,2504930,1980312,1252054,2669278,787019,0,0,0,0,0,0,0,0,0
"Takhini",6572044,6726705,2175299,6219399,121923,6554285,6855234,6947990,6337838,6327872,5971939,5430489,6839394,5542243,7136355,6409054,620670,7211093,6024984,5848958,5714765,5508945,5758325,5637459,5718812,6114259,523694,5702986,628838,295807,6164536,6507504,5978352,198933,5940164,7310832,6104761,6382867,6632689,6770329,1100211,6317008,6256864,6334372,6790619,6619114,7106341,6583817,5879876,7269739,5578398,5158635,0,0,0,0,0,0,0,0
"Taseko",1047652,468878,4632545,634271,6680188,542968,551056,292649,600880,577689,1199526,2078214,581855,1355622,479028,426078,6850410,1731300,969793,991337,1300331,1464403,1205055,1452083,1533077,907337,6276657,1657256,6564553,6929806,848735,324059,856465,6606345,1144179,1834378,746848,512219,239968,468519,6070287,693810,777937,503033,533026,1219173,451382,331504,1695476,615744,1897160,2235057,6795165,0,0,0,0,0,0,0
"Tincup",6343888,6498550,1947059,5991243,499924,6326129,6627078,6719835,6109682,6099716,5743784,5202333,6611239,5314087,6908199,6180898,670663,6982937,5796828,5620802,5486610,5280789,5530170,5409303,5490656,5886103,295480,5474831,413604,749281,5936380,6279349,5750196,424009,5712008,7082677,5876605,6154711,6404533,6542173,871979,6088852,6028708,6106217,6562463,6390958,6878185,6355662,5651720,7041583,5350242,4930479,615783,6607025,0,0,0,0,0,0
"Tozitna",5235551,5390212,838918,4882904,1224222,5217791,5518741,5611497,5001345,4991378,4635485,4094192,5502901,4205922,5799861,5072559,1394910,5874600,4688584,4512619,4378427,4172642,4421986,4301119,4382473,4777764,821044,4366647,1108786,1473529,4828042,5171011,4641963,1148527,4603760,5974339,4768267,5046374,5296194,5433836,616904,4980514,4920371,4997878,5454126,5282619,5769848,5247324,4543456,5933246,4242072,3822371,1339965,5498687,1111997,0,0,0,0,0
"Trinity",715414,1468788,4711734,1147343,6756302,1295269,1597659,1689608,1137822,1033277,1602786,2461581,1581756,1727362,1875772,1150523,6909600,1399244,1141912,1392870,1669637,1835976,1578188,1824519,1903101,1431482,6374632,2020884,6646699,6987834,1020206,1252659,1395991,6681542,1545913,1502326,1281776,1132389,1375131,1511997,6166260,899800,949207,1073664,1532950,393807,1848205,1324796,2056752,2012095,2272008,2625924,6861689,1576796,6654611,5500689,0,0,0,0
"Verrett",1607167,1674089,3299926,1170685,5380225,1501389,1802934,1894915,1284324,1280695,887733,474964,1787037,449352,2081777,1357684,5550923,2290544,1013047,790784,633418,410060,674188,545755,626724,1064131,4978725,604018,5265326,5629569,1135114,1459249,937913,5305054,854966,2393626,1047300,1338379,1581231,1717276,4773299,1278080,1219002,1280899,1738229,1786867,2054145,1530886,789148,2218494,201131,673209,5495959,1782062,5268814,4154146,2144597,0,0,0
"Yakoun",1184600,1249368,3277077,744889,5325332,1075851,1378224,1470194,857682,854212,495539,740895,1362328,176858,1656563,931209,5496083,1863650,585990,376540,310618,231499,348741,273274,354371,638609,4922091,424257,5209907,5574703,708300,1033250,512782,5249634,462717,1966731,621798,911530,1155712,1292579,4715149,852748,793236,854256,1313532,1365101,1628911,1105366,516839,1793272,559713,884799,5441093,1357365,5213184,4113891,1725269,445750,0,0
"Yeth",1846967,1913889,3251578,1410494,5298868,1741189,2042734,2134715,1524135,1520506,1127541,63447,2026837,689157,2321577,1597498,5462229,2530344,1252855,1030595,873227,649867,913994,785565,866533,1303940,4910053,843826,5186649,5541055,1374923,1699049,1177722,5226508,1094774,2633426,1287108,1578190,1821031,1957076,4708888,1517891,1458803,1520709,1978029,2026667,2293945,1770686,1028956,2458294,534076,467534,5412162,2021862,5192425,4097403,2384397,420190,685860,0
