"","Sample","Reads","pass"
"141","Imn-1999-355",9447060,"Y"
"142","Imn-1999-356",23389415,"Y"
"143","Imn-1999-357",11750533,"Y"
"144","Imn-1999-359",14245369,"Y"
"145","Kao-2010-201",187582,"N"
"146","Kao-2010-202",4667294,"Y"
"147","Kao-2010-203",24657103,"Y"
"148","Kao-2010-204",6050124,"Y"
"149","Kao-2010-205",20772782,"Y"
"150","Kao-2010-207",16284742,"Y"
"151","Kao-2010-208",6943713,"Y"
"152","Kao-2010-209",20345712,"Y"
"153","Kil-2000-K1",10169158,"Y"
"154","Kil-2000-K11",12416877,"Y"
"155","Kil-2000-K18",20399307,"Y"
"156","Kil-2000-K24",29888912,"Y"
"157","Kil-2000-K28",12215456,"Y"
"158","Kil-2000-K30",10117701,"Y"
"159","Kil-2000-K31",15398944,"Y"
"160","Kil-2000-K5",30618063,"Y"
"161","Kild-2000-EC01",20530413,"Y"
"162","Kild-2000-EC02",28509556,"Y"
"163","Kild-2000-EC03",19126128,"Y"
"164","Kild-2000-EC04",32197126,"Y"
"165","Kild-2000-EC05",5998401,"Y"
"166","Kild-2000-EC06",2777821,"Y"
"167","Kild-2000-EC07",11858765,"Y"
"168","Kild-2000-EC08",24161213,"Y"
"169","Kin-1999-EC01",47498,"N"
"170","Kin-1999-EC02",27985598,"Y"
"171","Kin-1999-EC03",5235971,"Y"
"172","Kin-1999-EC05",0,"N"
"173","Kin-1999-EC06",22129829,"Y"
"174","Kin-1999-EC07",21325512,"Y"
"175","Kin-1999-EC08",23690911,"Y"
"176","Kin-1999-EC09",10134045,"Y"
"177","Kitl-2006-EC01",6558078,"Y"
"178","Kitl-2006-EC02",30832764,"Y"
"179","Kitl-2006-EC03",3245110,"Y"
"180","Kitl-2006-EC04",3529486,"Y"
"181","Kitl-2006-EC07",5295579,"Y"
"182","Kitl-2006-EC08",481,"N"
"183","Kitl-2006-EC09",22425586,"Y"
"184","Kitl-2006-EC10",7908336,"Y"
"185","Kits-1995-13",12828363,"Y"
"186","Kits-1995-17",31881457,"Y"
"187","Kits-1995-18",25365450,"Y"
"188","Kits-1995-2",24084227,"Y"
"189","Kits-1995-24",15935396,"Y"
"190","Kits-1995-4",10374796,"Y"
"191","Kits-1995-EC01",14031369,"Y"
"192","Kits-1995-EC02",16887306,"Y"
"193","Kitw-2002-EC01",15475905,"Y"
"194","Kitw-2002-EC02",6244274,"Y"
"195","Kitw-2002-EC03",24629387,"Y"
"196","Kitw-2002-EC04",30824867,"Y"
"197","Kitw-2002-EC05",21175343,"Y"
"198","Kitw-2002-EC06",24856594,"Y"
"199","Kitw-2002-EC07",23830964,"Y"
"200","Kitw-2002-EC08",9365360,"Y"
"201","Klin-2002-EC01",18801637,"Y"
"202","Klin-2002-EC02",2177623,"Y"
"203","Klin-2002-EC03",8339633,"Y"
"204","Klin-2002-EC04",12455207,"Y"
"205","Klin-2002-EC05",0,"N"
"206","Klin-2002-EC06",18190799,"Y"
"207","Klin-2002-EC07",0,"N"
"208","Klin-2002-EC08",26945226,"Y"
"209","Klo-2007-EC02",6593314,"Y"
"210","Klo-2007-EC03",15380178,"Y"
"211","Klo-2007-EC04",13060347,"Y"
"212","Klo-2007-EC05",43064,"N"
"213","Klo-2007-EC06",18755636,"Y"
"214","Klo-2007-EC08",9165884,"Y"
"215","Klo-2007-EC09",0,"N"
"216","Klo-2007-EC10",34456249,"Y"
"217","Kwi-1996-CH-KW-96-12",14851569,"Y"
"218","Kwi-1996-CH-KW-96-18",24532499,"Y"
"219","Kwi-1996-CH-KW-96-31",80231695,"Y"
"220","Kwi-1996-CH-KW-96-32",18846611,"Y"
"221","Kwi-1996-CH-KW-96-38",17697542,"Y"
"222","Kwi-1996-CH-KW-96-39",46659286,"Y"
"223","Kwi-1996-CH-KW-96-70",1747,"N"
