"","PC1","PC2","PC3"
"Abe-1995-95EK1",-2.25332753963568,0.324895471429084,-2.07136655483031
"Abe-1995-95EK12",-2.95726226895985,0.439096580592271,-2.87532983943568
"Abe-1995-95EK13",-1.32578706665962,0.523237469222786,-1.63010790810309
"Abe-1995-95EK17",1.48668087997711,4.37316900497677,-2.21683364289692
"Abe-1995-95EK2",-4.02775544804239,-2.2654454452878,-0.117169242792051
"Abe-1995-95EK3",-5.75639177446142,-4.58258522414201,1.22918927510244
"Abe-1995-95EK7",-1.96503504410749,-1.17254703899972,-0.0872120277016888
"Abe-1995-95EK9",-1.75335328637449,0.393507039394559,-1.57018496479377
"Ada-2001-EC02",-3.62491872597425,-1.63593984164874,1.17734582845896
"Ada-2001-EC03",-2.18362467825595,0.838846253019333,-2.29558189508712
"Ada-2001-EC04",-3.11572234657984,7.83092829157561,4.67976533280217
"Ada-2002-EC01",-4.31702153248237,6.27288778506712,4.37569568052242
"Ada-2002-EC02",-6.2621569713803,-5.59820219941397,-0.439020832347812
"Ada-2002-EC03",-3.15121407638038,6.80625191194236,3.88786603516035
"And-2003-Kand0309.004",-4.13204881395656,-2.89267504455575,1.07937185174278
"And-2003-Kand0309.010",-1.16516503218911,-0.806312481616578,0.275914267796374
"And-2003-Kand0309.016",5.71800732419958,-0.168054491039912,-1.25366584962226
"And-2003-Kand0309.018",-3.94787909585763,-0.61504571800104,0.4409812312577
"And-2003-Kand0309.019",-5.22473676169216,-3.6905556873303,1.37766441175494
"BigB-2021-219242",-0.501051290824653,0.279046083383784,-0.647574270400552
"BigB-2021-219243",-12.5701164702749,-7.37427274964989,3.8270505818983
"BigB-2021-219244",-11.4075122339873,-8.36273694566064,3.4318512622078
"BigB-2021-219245",-1.44833570493086,-1.04631086795693,0.286809677933849
"BigB-2021-219247",-1.26794058145045,3.4783060967008,1.94153947055802
"BigB-2021-219248",-0.0776655272443963,2.78252268736175,-3.87260747043459
"BigB-2021-219249",-10.2585330253001,-8.72290975731795,2.69084489430658
"BigB-2021-219250",18.3786121243603,-2.86248998117174,2.27459688280069
"BigS-2016-0047",-7.90732763435707,-6.03777268512813,2.35605726246985
"BigS-2016-0048",-0.87166188027416,0.278423403346192,-1.03184425999709
"BigS-2016-0049",0.0918780870249284,1.17521277805057,-1.60062412954757
"BigS-2016-0051",8.5875122067613,-0.946490233494205,1.0229057148739
"BigS-2016-0053",-2.88495481210101,1.08417689760072,-5.17730979104432
"BigS-2016-0054",18.0887546003307,-4.27806052308845,2.71109269076882
"BigS-2016-0055",0.696570668669332,4.11139177680668,-7.55422739638617
"BigS-2016-0056",-2.81092415957127,-1.59133198592023,-0.431451794661472
"Bir-2005-EC03",-3.52117424035848,3.6674040708099,3.36921717282413
"Bir-2005-EC04",16.9567524056449,-2.97443902519302,2.33936017880013
"Bir-2005-EC06",16.8656851393058,-2.84242827829563,2.30528649422719
"Bir-2005-EC07",-7.62329968637674,-5.33763213077714,0.671841284396547
"Bir-2005-EC09",-9.80024154439981,-6.98282237034427,3.6115712164027
"Bir-2005-EC10",-10.2715169312326,-9.0144358373201,2.77742184330272
"Bir-2005-EC11",-6.16849478227876,-5.0257498917954,-0.52382480896582
"Bir-2005-EC12",-0.218839291178402,5.66761060262612,-10.7960150075532
"Blu-2001-EC01",-3.23460583676123,0.7318897375709,-3.05467621389331
"Blu-2001-EC02",-5.57162773051604,3.87083896889392,4.70386413992521
