"","PC1","PC2","PC3"
"Tri-1998-91",-21.8767269875804,11.3323103185383,3.46814449023669
"Tri-1998-92",-22.5806485653043,12.061780989279,3.76670250134382
"Tri-1998-93",-11.8934587593085,6.12843257843135,2.05356350071454
"Tri-1998-94",-18.834651766271,9.67325161262264,3.14788488078256
"Tri-1998-99",-18.7321195759,10.0145041280883,3.25006491655095
"Imn-1999-351",34.5708067518134,5.12463636998362,4.44329647029525
"Imn-1999-352",7.75998254272845,-14.4723288221004,-7.17742128872125
"Imn-1999-353",10.6350465713553,-21.9833600329281,-11.0582107493543
"Imn-1999-354",9.89931235493193,-18.1308776334835,-9.06779958560908
"Imn-1999-356",9.09548749075887,-20.4127089784854,-9.0732804971954
"Imn-1999-357",9.53912547192949,-20.0646071165865,-9.94823449646618
"Imn-1999-359",10.5430752550509,-21.928822266375,-10.7874663638332
"Abe-1995-95EK1",-34.5681229624907,19.5550684050853,9.21286268887946
"Abe-1995-95EK12",-26.6097000137579,14.4091730910919,6.49306782684076
"Abe-1995-95EK13",-12.6731997045846,7.06764569412746,2.96246703111942
"Abe-1995-95EK17",-27.0599564761795,15.4575023680235,7.08371438952374
"Abe-1995-95EK2",-20.577548437851,10.2244406316713,5.21496204402249
"Abe-1995-95EK7",-27.5136518904906,15.1072479283951,6.92493278182717
"Abe-1995-95EK9",-27.490829487393,15.6930683874394,5.67098551291522
"San-2002-EC01",-21.7024377935991,19.69489870747,-0.606581542118654
"San-2002-EC05",-25.4087846369544,18.9669805958705,-0.647098391547056
"San-2002-EC06",-27.2988215066886,19.2368411378981,-0.403489503077416
"San-2015-3863",-24.6608395379024,16.2903650173151,-1.26601227037403
"San-2015-3865",-28.481365619281,20.1913714671968,0.221339051394123
"San-2015-3867",-31.1474946291852,21.6677943504705,2.67762065211494
"San-2015-3868",-16.3815626464563,10.0271161370751,-1.07482748115789
"San-2015-3869",-10.5239023922892,5.66250510229035,-1.02387278918347
"Cow-2016-EC01",-33.9955952025709,22.6520853550484,7.60638744913964
"Cow-2016-EC02",-12.9878072682959,7.75284497844335,1.96767257052244
"Cow-2016-EC03",-11.2117099359139,6.6530768684736,1.91098128773759
"Cow-2016-EC04",-41.0400562443376,29.8717555488006,9.00951333555345
"Cow-2016-EC06",-36.3556041075346,25.360679074843,8.20740297884292
"Cow-2016-EC07",-31.6733871673682,22.0698200914826,6.84782782584238
"Cow-2016-EC08",-39.683114081609,27.5536496760332,8.96163339928808
"Cow-2016-EC09",-37.0845827724092,25.9031318997284,8.26698705761533
"Sar-2001-EC03",-10.4742090716771,5.79807200963663,-1.52515968094743
"Sar-2001-EC04",-9.1317068485556,5.25847743562077,-0.87312861705739
"Sar-2001-EC05",-14.660353425573,9.11578832441004,-1.96509917947992
"Sar-2001-EC10",-16.6271031570652,10.7438376611738,-1.74594747942565
"Oka-2007-13620",-28.5741989095627,14.993515914685,9.41452100549302
"Oka-2007-13622",-27.4264753423969,14.2676338251189,8.81931300068369
"Oka-2007-13623",-41.259126206658,22.4159445434165,14.9284004874413
"Oka-2007-13626",-42.3380668445754,23.2222926088274,15.2575808038817
"Oka-2007-13630",-39.4266779149371,21.9421055458757,13.9239400748975
"Oka-2007-13631",-35.1222308422871,19.1362941009972,12.0139831145538
"Oka-2007-13634",-34.9159798449827,19.0860966380604,12.2108325473528
"SerB-2020-102401",-34.7966759587369,19.8051212476384,8.64181458899347
"SerB-2020-102403",-33.1614638544875,17.5533967565726,7.66296894788696
"SerB-2020-102404",-38.7074246293048,21.2830256873164,8.09125152698677
"SerB-2020-102405",-41.6469000344378,25.4716320594086,9.37594716253168
"SerB-2020-102407",-28.8097238896549,15.1008662303912,6.17064121010898
"SerB-2020-102408",-39.0596492758065,21.1835365319071,8.61212145278082
"SerB-2020-102410",-42.8683178466165,26.0598873605084,10.4661120156194
"BigB-2021-219242",-39.8530726472236,28.549426384767,9.45218736762635
"BigB-2021-219243",-26.3020997335366,17.8365009645628,5.6079010012431
"BigB-2021-219244",-27.5319672217134,18.4007886913946,6.21282889064249
"BigB-2021-219245",-20.3020421373319,13.120569776462,3.80461832924048
"BigB-2021-219247",-21.9208503401049,14.1151162374539,5.2284186760677
"BigB-2021-219249",-31.5794839075592,22.1515618543715,7.74210576969066
"Moy-2010-4501",-28.0815678081838,21.9358217189891,-3.1568448385743
"Moy-2010-4520",-21.2549838647433,14.76911056326,-2.41896450674061
"Moy-2010-4524",-26.0493215154126,18.6088317001185,0.595060847414911
"Moy-2010-6515",-8.88286874116851,5.69007816647735,-1.04909661517259
"Moy-2010-6595",-29.560565770452,21.5167023679955,-3.48409089251426
"Moy-2010-6596",-29.4311326706939,22.5692522206875,-3.13260884219399
"Moy-2010-6598",-25.903252461856,19.2763433301824,-3.7403452358992
"Moy-2010-6599",-15.3759192165284,10.1746767545972,-1.35771576169265
"Pit-2003-H1",-33.166677465894,9.60092615807666,3.89382011613102
"Pit-2003-H3",-9.67545919415157,2.00472936834244,0.589094262070088
"Pit-2003-H5",-25.8920218909888,7.17812017558036,3.00202771840498
"Pit-2003-H6",-14.2795644770629,3.57587508372814,0.866773237037287
"Pit-2006-EC06",-27.2021956746017,8.06672064721763,2.73761779271235
"Pit-2006-EC08",-32.343214199143,8.97842527162556,3.88072253589643
"Pit-2006-EC09",-27.2467605162529,8.0098808974565,3.16470503164143
"Pit-2006-EC12",-28.696638399145,7.2426295061603,2.40747778790292
"Che-2007-EC02",-38.8311602920056,27.6229313593896,8.91930231103922
"Che-2007-EC04",-37.3489373285928,24.9791589581482,8.43123219359179
"Che-2007-EC05",-37.2519914154636,20.9778707066083,8.52647308126375
"Che-2007-EC06",-32.1353240481568,20.9180005380351,7.15076597762988
"Che-2007-EC07",-36.898763673282,25.8192630561413,8.08204557734651
"Che-2007-EC08",-20.3710716898478,13.354222775246,4.27280812491512
"Che-2007-EC10",-13.2923928489374,6.50187461052562,2.27959922806248
"Kao-2010-202",-18.6221113416846,12.0042563809753,-2.59365584791666
"Kao-2010-203",-25.7850613758266,18.2180368496892,-0.21143868116378
"Kao-2010-204",-27.4709768107454,19.382848477505,-3.19706254284497
"Kao-2010-205",-21.9144208560688,14.7931558430894,-2.17268221020091
"Kao-2010-207",-25.0448594335331,17.3765352593187,-2.78035745456197
"Kao-2010-208",-13.7161965948279,7.73196413866269,-0.710301389727265
"Kao-2010-209",-9.54312992882201,5.24255484066171,-1.05583725262644
"SpiB-2021-253202",-10.1170508502867,-29.8798429937784,15.7127433184415
"SpiB-2021-253203",-7.24013219017318,-23.6838752772537,12.0725287485054
"SpiB-2021-253204",-9.05325173769363,-24.8487692107606,12.9665746847912
"SpiB-2021-253205",-8.58999213488802,-22.9194440670944,11.6828616453091
"SpiB-2021-253301",-9.94120567317833,-25.1793853198865,13.4021116965651
"SpiB-2021-253302",-11.2441400607462,-30.3973428123631,15.2207286432541
"SpiB-2021-253304",-13.7471645988731,-32.1480132341382,17.4504379451289
"SpiB-2021-253305",-5.34668728586196,-15.147101068003,6.67189639327744
"Dut-2006-EC04",-12.1067653813196,-9.23496086318792,8.10207829009477
"Dut-2006-EC07",-11.2496245724092,-5.92502145712602,6.7907220787125
"Dut-2006-EC09",-20.9638992483215,-8.8079536973294,12.6676679427792
"Dut-2006-EC10",-20.50124869841,-13.4955294604441,15.0199644203571
"Dut-2006-EC11",-20.9988502407117,-13.384190810069,14.4785829303406
"Dut-2010-EC04",-23.5256211768185,-11.5153575682254,16.4687660824318
"Bir-2005-EC03",-25.2999367604483,6.23521599595431,2.38338309898995
"Bir-2005-EC04",-19.766412700292,4.58066264794816,1.5168528439895
"Bir-2005-EC06",-28.9309588481348,7.98399214435697,3.94484446128833
"Bir-2005-EC07",-24.0784525426969,6.37915480071193,2.65549170218502
"Bir-2005-EC09",-24.3788602499155,6.03745516085835,1.91067579242609
"Bir-2005-EC10",-26.6814284352575,5.74105521401998,3.1219035040068
"Bir-2005-EC11",-27.9670059093991,7.38294282719804,3.12774005308144
"Bir-2005-EC12",-29.3718079119863,8.06081696261518,3.33266464841351
"Phi-2010-601",-33.7591483679835,22.1433354518413,0.265095777080479
"Phi-2010-603",-35.8122390060036,23.289139748132,0.335226697835785
"Phi-2010-604",-35.568593867445,22.3076400064821,1.2054956654903
"Phi-2010-606",-38.7351942085612,25.8390551718073,2.77825293290716
"Phi-2010-607",-36.0881104715023,22.7964996326277,0.763151815522501
"Phi-2010-608",-35.1117918245923,22.5533170402299,-0.288563950753058
"Phi-2010-609",-33.7349397085002,21.4689131968541,2.18998284146147
"Phi-2010-610",-31.8067354182783,19.3290206167537,1.52471348707513
"Nim-2010-1402",-32.3790531445306,21.4442444360122,0.877412000566182
"Nim-2010-1403",-24.9324243364015,14.8851441412785,0.618073582980611
"Nim-2010-1408",-18.8829584156693,10.7116957343811,-0.173814585005804
"Nim-2010-1409",-31.5558012792045,21.5469151633917,0.379083434336722
"Nim-2010-1410",-31.9979411737023,20.075156280704,0.808045644901826
"Nim-2010-1411",-32.5409595247341,22.2023049328372,0.586389318749253
"Nim-2010-1412",-33.5933928606741,22.6352903798237,-0.0740434195438373
"Nim-2010-1441",-17.384299451907,9.33339607309754,-0.0670297600330473
"Por-2001-EC01",-13.1559432998159,-9.73846771356665,10.4277489571564
"Por-2001-EC04",-18.0235039692891,-14.2772422277685,15.1327513798193
"Por-2005-EC01",-21.3167004483287,-17.8397652309975,18.6604283981745
"Por-2005-EC02",-22.2190338235029,-14.7577776149251,16.1898327376692
