"","Sample","Reads","pass"
"1","Abe-1995-95EK1",11084452,"Y"
"2","Abe-1995-95EK12",14996172,"Y"
"3","Abe-1995-95EK13",8521731,"Y"
"4","Abe-1995-95EK17",17177871,"Y"
"5","Abe-1995-95EK2",7487372,"Y"
"6","Abe-1995-95EK3",11466838,"Y"
"7","Abe-1995-95EK7",6265768,"Y"
"8","Abe-1995-95EK9",8326648,"Y"
"9","Ada-2001-EC01",2550951,"N"
"10","Ada-2001-EC02",7878381,"Y"
"11","Ada-2001-EC03",15969118,"Y"
"12","Ada-2001-EC04",18581722,"Y"
"13","Ada-2001-EC05",5768595,"Y"
"14","Ada-2002-EC01",23818977,"Y"
"15","Ada-2002-EC02",33666975,"Y"
"16","Ada-2002-EC03",16658883,"Y"
"17","And-2003-Kand0309.001",1576282,"N"
"18","And-2003-Kand0309.004",12279113,"Y"
"19","And-2003-Kand0309.008",6473711,"Y"
"20","And-2003-Kand0309.010",3960977,"Y"
"21","And-2003-Kand0309.016",17815597,"Y"
"22","And-2003-Kand0309.018",17488050,"Y"
"23","And-2003-Kand0309.019",19412187,"Y"
"24","BigB-2021-219242",3847743,"Y"
"25","BigB-2021-219243",42307970,"Y"
"26","BigB-2021-219244",25309343,"Y"
"27","BigB-2021-219245",4148785,"Y"
"28","BigB-2021-219247",7879869,"Y"
"29","BigB-2021-219248",12326919,"Y"
"30","BigB-2021-219249",23762220,"Y"
"31","BigB-2021-219250",33181080,"Y"
"32","BigS-2016-0047",15946291,"Y"
"33","BigS-2016-0048",7021264,"Y"
"34","BigS-2016-0049",5705118,"Y"
"35","BigS-2016-0051",11123344,"Y"
"36","BigS-2016-0053",17077157,"Y"
"37","BigS-2016-0054",39093990,"Y"
"38","BigS-2016-0055",22385593,"Y"
"39","BigS-2016-0056",7645551,"Y"
"40","Bir-2005-EC03",12221610,"Y"
"41","Bir-2005-EC04",24889397,"Y"
"42","Bir-2005-EC06",23644562,"Y"
"43","Bir-2005-EC07",19465569,"Y"
"44","Bir-2005-EC09",18244754,"Y"
"45","Bir-2005-EC10",23220687,"Y"
"46","Bir-2005-EC11",16805971,"Y"
"47","Bir-2005-EC12",38258641,"Y"
"48","Blu-2001-EC01",11903898,"Y"
"49","Blu-2001-EC02",14558507,"Y"
"50","Blu-2001-EC03",7040283,"Y"
"51","Blu-2004-EC01",11486791,"Y"
"52","Blu-2004-EC03",10604512,"Y"
"53","Blu-2009-EC02",25502048,"Y"
"54","Blu-2009-EC04",14752147,"Y"
"55","Blu-2010-EC04",25427096,"Y"
"56","Car-2001-UC-15C",33334829,"Y"
"57","Car-2001-UC-16A",9994619,"Y"
"58","Car-2001-UC-16B",1820078,"N"
"59","Car-2001-UC-16C",10616177,"Y"
"60","Car-2001-UC-16D",9062552,"Y"
"61","Car-2001-UC-2",35570273,"Y"
"62","Car-2001-UC-3",19669872,"Y"
"63","Car-2001-UC-7",20807289,"Y"
"64","Che-2007-EC02",12335298,"Y"
"65","Che-2007-EC04",8995348,"Y"
"66","Che-2007-EC05",3585517,"Y"
"67","Che-2007-EC06",929,"N"
"68","Che-2007-EC07",26243944,"Y"
"69","Che-2007-EC08",8876794,"Y"
"70","Che-2007-EC09",218592,"N"
"71","Che-2007-EC10",3928938,"Y"
"72","Cow-2016-EC01",138114,"N"
"73","Cow-2016-EC02",2119538,"N"
"74","Cow-2016-EC03",18301585,"Y"
"75","Cow-2016-EC04",26529856,"Y"
"76","Cow-2016-EC06",26073578,"Y"
"77","Cow-2016-EC07",12154801,"Y"
"78","Cow-2016-EC08",14310957,"Y"
"79","Cow-2016-EC09",4609,"N"
"80","Dea-2006-EC01",21978899,"Y"
"81","Dea-2006-EC02",20138682,"Y"
"82","Dea-2006-EC03",26673650,"Y"
"83","Dea-2006-EC04",10240029,"Y"
"84","Dea-2006-EC05",1174,"N"
"85","Dea-2006-EC06",14861472,"Y"
"86","Dea-2006-EC07",4019851,"Y"
"87","Dea-2006-EC08",35809852,"Y"
"88","Dud-2006-EC01",13351104,"Y"
"89","Dud-2006-EC02",26845173,"Y"
"90","Dud-2006-EC03",39960954,"Y"
"91","Dud-2006-EC04",15671216,"Y"
"92","Dud-2006-EC05",1936234,"N"
"93","Dud-2006-EC06",4063335,"Y"
"94","Dud-2006-EC07",5458230,"Y"
"95","Dud-2006-EC08",9748874,"Y"
"96","Dut-2006-EC03",13204222,"Y"
"97","Dut-2006-EC04",123719,"N"
"98","Dut-2006-EC06",2757058,"N"
"99","Dut-2006-EC07",15489315,"Y"
"100","Dut-2006-EC09",3958108,"Y"
"101","Dut-2006-EC10",11391838,"Y"
"102","Dut-2006-EC11",494,"N"
"103","Dut-2010-EC04",16464833,"Y"
"104","Ecs-2003-EC01",2241393,"N"
"105","Ecs-2003-EC02",24722513,"Y"
"106","Ecs-2003-EC03",20519935,"Y"
"107","Ecs-2003-EC04",13331415,"Y"
"108","Ecs-2003-EC05",13653988,"Y"
"109","Ecs-2003-EC06",21330880,"Y"
"110","Ecs-2003-EC07",7525664,"Y"
"111","Ecs-2003-EC08",16878328,"Y"
"112","End-2006-EC01",7674896,"Y"
"113","End-2006-EC02",6118433,"Y"
"114","End-2006-EC05",8249549,"Y"
"115","End-2006-EC08",11623805,"Y"
"116","End-2006-EC10",11235232,"Y"
"117","End-2006-EC12",3378937,"Y"
"118","End-2006-EC18",23965346,"Y"
"119","HarB-2020-75401",19525815,"Y"
"120","Harr-2006-K045",29692387,"Y"
"121","Harr-2006-K047",4062935,"Y"
"122","Harr-2006-K053",16026308,"Y"
"123","Harr-2006-K054",14324008,"Y"
"124","Harr-2006-K057",11651864,"Y"
"125","Harr-2006-K059",9912044,"Y"
"126","Harr-2006-K066",497,"N"
"127","Hoo-2005-EC03",8487461,"Y"
"128","Hoo-2005-EC05",6183126,"Y"
"129","Hoo-2005-EC06",32013731,"Y"
"130","Hoo-2005-EC07",16599156,"Y"
"131","Hoo-2005-EC09",13491953,"Y"
"132","Hoo-2005-EC10",3839427,"Y"
"133","Hoo-2005-EC11",34407428,"Y"
"134","Imn-1999-351",11123344,"Y"
"135","Imn-1999-352",13786622,"Y"
"136","Imn-1999-353",34434710,"Y"
"137","Imn-1999-354",31164518,"Y"
"138","Imn-1999-355",9447060,"Y"
"139","Imn-1999-356",23389415,"Y"
"140","Imn-1999-357",11750533,"Y"
"141","Imn-1999-359",14245369,"Y"
"142","Kao-2010-201",187582,"N"
"143","Kao-2010-202",4667294,"Y"
"144","Kao-2010-203",24657103,"Y"
"145","Kao-2010-204",6050124,"Y"
"146","Kao-2010-205",20772782,"Y"
"147","Kao-2010-207",16284742,"Y"
"148","Kao-2010-208",6943713,"Y"
"149","Kao-2010-209",20345712,"Y"
"150","Kil-2000-K1",10169158,"Y"
"151","Kil-2000-K11",12416877,"Y"
"152","Kil-2000-K18",20399307,"Y"
"153","Kil-2000-K24",29888912,"Y"
"154","Kil-2000-K28",12215456,"Y"
"155","Kil-2000-K30",10117701,"Y"
"156","Kil-2000-K31",15398944,"Y"
"157","Kil-2000-K5",30618063,"Y"
"158","Kild-2000-EC01",20530413,"Y"
"159","Kild-2000-EC02",28509556,"Y"
"160","Kild-2000-EC03",19126128,"Y"
"161","Kild-2000-EC04",32197126,"Y"
"162","Kild-2000-EC05",5998401,"Y"
"163","Kild-2000-EC06",2777821,"N"
"164","Kild-2000-EC07",11858765,"Y"
"165","Kild-2000-EC08",24161213,"Y"
"166","Kin-1999-EC01",47498,"N"
"167","Kin-1999-EC02",27985598,"Y"
"168","Kin-1999-EC03",5235971,"Y"
"169","Kin-1999-EC06",22129829,"Y"
"170","Kin-1999-EC07",21325512,"Y"
"171","Kin-1999-EC08",23690911,"Y"
