"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"mean_depth",1,2.61861,3.74283,3.96366748400853,4.87854,15.9403
"indv_miss_n",435853,814052,1122480,1227591.64818763,1564291,2264658
"indv_miss_p",0.192459,0.359459,0.495651,0.54206467803838,0.69074,1
